商品标题,一级（是否为实体）,二级-三级-四级,时间,地域
【国庆专属福利】29.9元购原价53元时代影城电影兑换通用券，各位影迷抢先购买好位置哦~,0,c,,
【T3出行|限南京用户使用】1元秒杀T3出行新用户101元打车券大礼包，老用户2张6元无门槛立减券！ ,0,g,,
【江宁丰硕农场】仅9.9元购门市价39元【丰硕农场】家庭畅玩券！农场赶大雁+捡鸡蛋+喂养小动物+挖野菜+农场观光+捉泥鳅 +钓鱼+可采摘2斤有机蔬菜带走+赠送100元农家餐抵用金，尽情享受时光！,0,d,,
【全国包邮】22.9元抢门市价39元德福一品蛋黄酥一盒12枚，39.9元抢两盒，采用真材实料，香甜不腻，老少皆宜。,1,a-4,,
【9店通用】仅39元抢门市价2428元臻极丽人会美容养生套餐，是时候放松一下了 ！让身心压力一扫而空~,0,k,,
【全国通用】星巴克折扣年卡，9.9元享【星巴克·折扣年卡】1张！全国星巴克在线点单低至6折起，最多可省9.4元一杯！还能吃喝玩乐一键省钱！,0,l/o,,
【麦当劳洪武路店/三牌楼店/大桥南路店】三店通用！嗨皮独家大优惠！！27.9元抢麦当劳51.5元单人套餐， 53.9元抢麦当劳102元双人套餐,0,a-1-1,,
【夫子庙班花串串】49.9元抢原价132元串串套餐，锅底+80根签荤素不限+考双百小吃+盘菜白盘任选1份+面纸一盒！一起穿越到学生年代 ！,0,a-2,,
【非常女子】仅199元抢门市价2368元非常女子单人古装摄影套餐，超多底片全送，圆你古装女主梦！,0,m,,
【玄武湖｜国庆特惠】  110元起中南玄武湖菱洲生态乐园畅玩票，双人票/亲子票/家庭票，冒险杂技、童话巡游！还有超多惊喜等你pick！ ,0,d,,
【三层防护口罩】29.9元抢原价98元100个装成人三层防护口罩，三层防护有效过滤！,1,c-1/b-2,,
【仅江浙沪皖地区发货 | 快递包邮】仅59.9元抢原价218元花雕醉蟹2盒，12只（公母随机）69.9元抢原价248元醉蟹2盒，甄选优质大闸蟹，先蒸后醉手工泡制，酒醇蟹鲜膏鲜黄嫩~全母蟹！,1,a-2,,
【固城湖大闸蟹产地直发】99元抢原价150元大闸蟹8只！109元抢原价220元4对大闸蟹：母蟹2.2两+公蟹3两！江浙沪邮政EMS包邮！死蟹包赔，无黄包赔！,1,a-2,,
【大行宫】仅49.9元抢门市价170元炒螺丝双人套餐，美味不可辜负，新鲜更要享受不要犹豫了，赶快来吃吧！,0,a-3,,
【全国通用】24.9元抢门市价33元肯德基老北京鸡肉卷两份，性价比高到惊人好吗，还在等啥？赶紧抢啊！,0,a-1-1,,
