商品标题,商品规格,单价
【缤润汇/鹿町堂】仅9.9元抢门市价23元A套餐：招牌吐司4选一，或门市价21元B套餐芒芒大爆榨/爆汁葡萄， 二选 一 ，更多美味~总有一款适合你安排！,鹿町堂:A:吐司四选一 ,9.9
【新街口】25元抢原价50元苏香食里美食广场全场通用卡一张（馋游记、蒸菜世家、鱼之乐纸包鱼、刘酥肉除外）种类丰富又美味总能“命中”你的心和胃~！,,25.0
【大行宫/执牛耳火锅自助】69元抢门市价118元单人自助，129元抢门市价236元双人自助。午晚通用，空前优惠，赶紧行动！快来抢购！！,自助:双人火锅自助,129.0
【下马坊地铁站4号口/5寸杨汁甘露爆浆蛋糕】19.9元抢门市价88元蛋糕一个，39.9元抢门市价188元蛋糕1份+满天星/桔梗/小雏菊随机小花束1束(颜色随机)，来花吖，鲜花蛋糕全都满足你，仪式感满满~,花吖:5寸杨汁甘露爆浆蛋糕1份 ,19.9
【新街口莱迪广场】仅19.9元抢原价28元老外的果子烤榴莲1份（约80g）烤制过的榴莲味道更加浓郁，千万不能错过~,,19.9
【龙眠大道地铁站】仅59.9元抢原价220元汉城山烤肉超值2-3人餐！5荤2素+海苔手握饭+柠檬水41扎！满满肉香福利，就等你来体验~,,59.9
【多店通用/穿巷蓉李记】19.9元抢门市价46元A：单人套餐，76元抢门市价134元B：2-3人餐，太划算了吧！赶紧下单~,穿巷蓉李记:A：酸辣粉或担担面（二选一） 韭香薄脆1份 孜然土豆1份 ,19.9
【全国包邮】仅199元抢原价550元纪梵希四宫格散粉，四种色号任选其一！四色融合，一步定格美颜~,,199.0
【驱蚊喷雾】9.9元抢门市价39.9元Soffell 驱蚊喷雾两瓶（橘子味、玫瑰味各一瓶） 30ml/瓶 ，泰国配方，持久驱蚊~,,9.9
【全国包邮】9.9元抢门市价39.9元，椰香小熊饼干整箱400克或沙琪玛400g（二选一），采用真材实料，香甜不腻，老少皆宜。,饼干沙琪玛: 葡萄沙琪玛400g ,9.9
【同曦万尚城】仅99元抢门市价489元巷口往事花胶鸡+烤串3-4人超值套餐，火锅和烧烤同时体验味觉上的双重满足，吃货们快来享受吧~！,,99.0
【两店通用】99元抢门市价349元颐品居2-3人套餐，羊骨锅+新鲜牛吊龙、嫩羊肉＋一片云羊肉以及各种丰富的菜品，满屏肉香，冲鸭~,,99.0
【新街口/明泰谷】128元抢价值308元双人套餐！纯血统泰国菜，用异域的味道唤醒沉睡的味蕾！,,128.0
【兰芝防晒隔离霜】仅88元抢原价139元韩国兰芝防晒隔离霜30ml，紫色/绿色二选一，好肌肤“隔”出来~快给肌肤穿上防护衣吧,色号:紫色 ,88.0
【老门东】仅22.9元抢原价56元张氏生煎特惠双人套餐：招牌小鱼锅贴1份+招牌铁板豆腐1份+橙意满满1杯+百香果满满1杯！丰盛的特色风味，你还等什么？,,22.9
【预售南京金鹰奇幻森林萌宠乐园】29元抢门市价59元“疯狂动物城”单人票，早鸟票，零距离撸遍蓝孔雀、鸟园、香猪、羊驼...超满足哦！,,29.0
【建邺区水西门大街】仅49.9元抢原价166元羊老爷烤鱼套餐/碳烤牛蛙套餐！清江鱼3斤/牛蛙1份+蔬菜四份＋椒盐花生＋蒜泥黄瓜＋大红虾4只！碳烤美味冲鸭~,套餐:烤鱼套餐,49.9
【全南京6店通用】仅38.8元抢原价488元付氏女子养发育发馆超值套餐！七个护理项目，男女不限哦！喊上周围有「秃头」危机的朋友好好去护理一下吧~,,38.8
【3号线新庄站】仅19.9元抢原价680元SAOK Club套餐！酒水一份+一份果盘+小吃一份+一扎橙汁！超嗨现场等你来~,,19.9
【三店通用】37.5元抢门市价43元发财铺网红脆皮五花肉一份，外酥里嫩、酥脆蓬松的脆皮五花肉，  小伙伴们可不要错过了哦！,,37.5
【迪奥烈艳蓝金口红】149元抢门市价330元迪奥烈艳蓝金口红六种热门色号可选！官方授权，保证正品支持专柜验货！买！不买不是仙女！,,149.0
【大行宫/执牛耳火锅自助】69元抢门市价118元单人自助，129元抢门市价236元双人自助。午晚通用，空前优惠，赶紧行动！快来抢购！！,自助:单人火锅自助 ,69.0
【缤润汇/鹿町堂】仅9.9元抢门市价23元A套餐：招牌吐司4选一，或门市价21元B套餐芒芒大爆榨/爆汁葡萄， 二选 一 ，更多美味~总有一款适合你安排！,鹿町堂:B:饮品二选一,9.9
【建邺乐基广场】仅78元抢原价1192元芝芯堂套餐！伏魔灸+中医乳腺疏通+扶阳肩颈理疗+五行能量排毒，超多项目一次满足！放松身体，悄悄变美~,,78.0
【秦淮区】仅19.9元抢门市价39元高压锅蒸汽生蚝10只，仅99元抢门市价240元双人餐，饕餮海鲜盛宴，手掌大的生蚝！,耗鲜生‘:A：生蚝套餐 ,19.9
【秦淮区】仅19.9元抢门市价39元高压锅蒸汽生蚝10只，仅99元抢门市价240元双人餐，饕餮海鲜盛宴，手掌大的生蚝！,耗鲜生‘:B:双人套餐,99.0
【新街口国际贸易中心】仅19.9元抢原价230元米兰音乐吧特惠A套餐：雪花纯生啤酒6瓶+2份小食，88元抢原价570元特惠B套餐：啤酒12瓶（3选一）+3份小食,套餐:特惠B套餐,88.0
【杨柳湖景区】仅25.9元抢原价49.9元瑞硕亲子农庄龙虾垂钓套餐，49.9元抢原价129元自然采摘教育套餐！超多亲子活动等你来玩哦~,套餐:自然采摘套餐,49.9
【限江浙沪皖包邮/京东专线配送】仅68元抢原价98元【阳山水蜜桃】4-5两8只装精品礼盒，80元抢原价118元5-6两8只装精品礼盒！珍稀早桃，邀请你一起感受最早的甜蜜,套餐:5-6两8只装精品礼盒,80.0
【限南京包邮/五香居】仅49.9元抢购门市价68元你好鸭组合套餐：鸭脖1盒＋鸭锁骨1盒＋豆干1盒，微辣口味老少皆宜，赶快抢购吧！！,,49.9
【新街口莱迪广场】仅8.8元抢原价17元8街壹号奶茶A套餐：凤梨养乐多一杯；17.8元抢原价34元B套餐：抹茶星冰乐一杯+四季春鲜牛乳一杯！一分价格！五星品质！十分治愈！快带上小伙伴一起来吧~,套餐:套餐A:凤梨养乐多 ,8.8
【三店通用/经络堂——点评网推荐五星好店】仅69元抢门市价680元A套餐：包含7种养生项目 仅79元抢门市价798元B套餐：A套餐+v品水润酵素洁面泡沫一瓶，去经络堂遇见更美的自己吧！,经络堂:A套餐,69.0
【南京全城包邮】76.9元抢原价128元君乐宝简.醇酸奶1箱/涨芝士啦酸奶1箱，老少皆宜！ ,,76.9
【慢面包/8店通用】仅35.9元抢原价65元九宫格甜品一盒！9块蛋糕、5种口味！精致的生活怎么能少了小蛋糕呢~,,35.9
